기간	자치구	지역내총생산(당해년가격)	구성비	지역내총생산(2010년 기준년가격)	전년대비 증감률
2012	서대문구	6,832,503	2.2	6,517,670	9.3
2012	마포구	13,860,732	4.4	13,449,399	4.4
2012	양천구	5,477,524	1.7	5,291,197	-2.3
2012	강서구	7,883,811	2.5	7,694,038	2.1
2012	구로구	10,398,295	3.3	10,076,229	1.6
2012	금천구	12,827,876	4.1	12,335,556	0.1
2012	영등포구	25,011,534	8	24,444,952	1.5
2012	동작구	4,962,630	1.6	4,772,699	0.6
2012	관악구	4,776,156	1.5	4,611,710	0.7
2012	서초구	26,148,756	8.3	25,126,734	4.2
2012	강남구	49,352,022	15.7	47,663,420	2.1
2012	송파구	18,617,139	5.9	18,010,681	0.8
2012	강동구	6,285,371	2	6,100,373	1.1
2013	서울시	318,607,001	100	304,415,367	0
2013	종로구	25,106,001	7.9	24,561,758	0.6
2013	중구	44,090,380	13.8	45,224,387	-1.5
2013	용산구	9,454,752	3	8,798,639	3
2013	성동구	9,008,732	2.8	8,317,229	0.6
2013	광진구	5,607,606	1.8	5,197,505	-0.5
2013	동대문구	6,521,711	2	6,099,728	0.2
2013	중랑구	3,757,744	1.2	3,497,071	0.7
2013	성북구	4,882,574	1.5	4,524,914	1.9
2013	강북구	2,642,893	0.8	2,463,019	-1.2
2013	도봉구	2,508,058	0.8	2,313,369	-0.6
2013	노원구	4,653,619	1.5	4,317,976	-0.3
2013	은평구	3,276,105	1	3,034,960	3.2
2013	서대문구	6,894,785	2.2	6,433,785	-1.3
2013	마포구	14,536,859	4.6	13,824,894	2.8
2013	양천구	5,470,079	1.7	5,138,742	-2.9
2013	강서구	8,403,995	2.6	7,934,658	3.1
2013	구로구	10,885,864	3.4	10,127,399	0.5
2013	금천구	13,484,216	4.2	12,313,560	-0.2
2013	영등포구	24,721,497	7.8	24,081,675	-1.5
2013	동작구	5,105,745	1.6	4,770,381	0
2013	관악구	4,969,358	1.6	4,652,532	0.9
2013	서초구	26,305,693	8.3	24,705,262	-1.7
2013	강남구	51,171,858	16.1	48,353,901	1.4
2013	송파구	18,673,676	5.9	17,611,555	-2.2
2013	강동구	6,473,202	2	6,116,466	0.3
2014	서울시	328,660,905	100	312,397,776	2.6
2014	종로구	26,759,739	8.1	26,142,667	6.4
2014	중구	44,641,112	13.6	45,843,190	1.4
2014	용산구	9,569,380	2.9	8,784,551	-0.2
2014	성동구	9,409,301	2.9	8,572,361	3.1
2014	광진구	5,522,747	1.7	5,076,387	-2.3
2014	동대문구	6,610,646	2	6,109,427	0.2
2014	중랑구	3,794,177	1.2	3,484,526	-0.4
2014	성북구	4,800,257	1.5	4,374,606	-3.3
2014	강북구	2,635,236	0.8	2,414,435	-2
2014	도봉구	2,571,708	0.8	2,340,901	1.2
2014	노원구	4,849,302	1.5	4,429,113	2.6
2014	은평구	3,310,205	1	3,016,809	-0.6
2014	서대문구	6,860,590	2.1	6,310,775	-1.9
2014	마포구	15,027,658	4.6	14,173,035	2.5
2014	양천구	5,618,758	1.7	5,200,513	1.2
2014	강서구	8,623,287	2.6	8,068,532	1.7
2014	구로구	10,757,499	3.3	10,057,045	-0.7
2014	금천구	13,182,249	4	12,206,323	-0.9
2014	영등포구	25,215,413	7.7	24,464,167	1.6
2014	동작구	5,122,308	1.6	4,716,106	-1.1
2014	관악구	5,156,563	1.6	4,732,640	1.7
2014	서초구	27,286,099	8.3	25,465,306	3.1
2014	강남구	54,642,788	16.6	51,458,518	6.4
2014	송파구	19,757,679	6	18,497,383	5
2014	강동구	6,936,206	2.1	6,458,461	5.6
2015	서울시	344,426,006	100	323,718,351	3.6
2015	종로구	27,929,070	8.1	27,295,816	4.4
2015	중구	47,887,993	13.9	49,724,402	8.5
2015	용산구	9,871,373	2.9	8,882,042	1.1
2015	성동구	9,673,958	2.8	8,711,965	1.6
2015	광진구	5,592,832	1.6	5,026,191	-1
2015	동대문구	6,688,724	1.9	6,058,829	-0.8
2015	중랑구	3,755,466	1.1	3,358,496	-3.6
2015	성북구	4,938,574	1.4	4,389,429	0.3
2015	강북구	2,618,309	0.8	2,335,530	-3.3
2015	도봉구	2,636,029	0.8	2,335,958	-0.2
2015	노원구	5,012,188	1.5	4,447,337	0.4
2015	은평구	3,491,843	1	3,084,155	2.2
2015	서대문구	7,227,343	2.1	6,492,434	2.9
2015	마포구	15,763,646	4.6	14,648,436	3.4
2015	양천구	5,697,533	1.7	5,141,067	-1.1
2015	강서구	9,627,187	2.8	8,724,715	8.1
2015	구로구	11,163,275	3.2	10,167,922	1.1
2015	금천구	13,735,602	4	12,220,749	0.1
2015	영등포구	26,770,448	7.8	25,592,405	4.6
2015	동작구	4,892,610	1.4	4,398,959	-6.7
2015	관악구	5,196,230	1.5	4,698,711	-0.7
2015	서초구	28,442,584	8.3	26,101,959	2.5
2015	강남구	57,968,609	16.8	54,136,313	5.2
2015	송파구	20,858,285	6.1	19,343,727	4.6
2015	강동구	6,986,297	2	6,400,803	-0.9
2016	서울시	359,439,923	100	332,472,757	2.7
2016	종로구	28,036,775	7.8	27,233,729	-0.2
2016	중구	48,654,807	13.5	50,123,305	0.8
2016	용산구	10,308,398	2.9	9,057,554	2
2016	성동구	10,503,045	2.9	9,272,615	6.4
2016	광진구	5,970,256	1.7	5,259,460	4.6
2016	동대문구	7,180,082	2	6,377,661	5.3
2016	중랑구	4,013,154	1.1	3,508,693	4.5
2016	성북구	5,217,211	1.5	4,549,074	3.6
2016	강북구	2,830,150	0.8	2,462,601	5.4
2016	도봉구	2,816,851	0.8	2,428,325	4
2016	노원구	5,292,768	1.5	4,608,970	3.6
2016	은평구	3,929,828	1.1	3,387,833	9.8
2016	서대문구	7,452,206	2.1	6,530,818	0.6
2016	마포구	16,355,733	4.6	14,918,622	1.8
2016	양천구	6,022,303	1.7	5,323,791	3.6
2016	강서구	10,739,720	3	9,517,594	9.1
2016	구로구	11,964,909	3.3	10,770,880	5.9
2016	금천구	15,004,950	4.2	13,256,060	8.5
2016	영등포구	27,701,698	7.7	26,176,143	2.3
2016	동작구	5,184,807	1.4	4,553,833	3.5
2016	관악구	5,358,231	1.5	4,747,927	1
2016	서초구	29,493,607	8.2	26,571,138	1.8
2016	강남구	59,981,514	16.7	55,136,745	1.8
2016	송파구	22,002,209	6.1	20,022,013	3.5
2016	강동구	7,424,711	2.1	6,677,373	4.3
